Name of the College,State,District,Type(Male/Female/Co-edu),Govt/Private,Qualification,Other Degree,Trade/Branch
GOVT ITI Simaria,Jharkhand,Chatra,Co-edu,Govt,ITI,None,Electrician 
GOVT ITI Simaria,Jharkhand,Chatra,Co-edu,Govt,ITI,None,Fitter
GOVT ITI Simaria,Jharkhand,Chatra,Co-edu,Govt,ITI,None,Welder
GOVT ITI Simaria,Jharkhand,Chatra,Co-edu,Govt,ITI,None,Mechanic Diesel
Neelam Singh College of Technology & Research Private ITI,Jharkhand,Chatra,Co-edu,Private,ITI,None,Electrician 
Neelam Singh College of Technology & Research Private ITI,Jharkhand,Chatra,Co-edu,Private,ITI,None,Fitter
Baidyanath Dham Industrial Training Centre,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
Baidyanath Dham Industrial Training Centre,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
Baidyanath Dham Industrial Training Centre,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Mechanic Diesel
Daksh Private ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
Daksh Private ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
Om Shivam Pvt. I.T.I,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
Om Shivam Pvt. I.T.I,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
Om Shivam Pvt. I.T.I,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Welder
B.L. Memorial PVT ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
B.L. Memorial PVT ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
PARAS PRIVATE ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Electrician
PARAS PRIVATE ITI,Jharkhand,Deoghar,Co-edu,Private,ITI,None,Fitter
Satish Chandra Gorai Pvt. ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Electrician
Satish Chandra Gorai Pvt. ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Fitter
Sanskar Pvt. ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Electrician
Sanskar Pvt. ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Fitter
Krishna Private ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Electrician
Krishna Private ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Fitter
Krishna Private ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Welder
Chittaranjan PVT ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Electrician
Chittaranjan PVT ITI,Jharkhand,Jamtara,Co-edu,Private,ITI,None,Fitter
"Women Industrial Training Institute, Khunti",Jharkhand,Khunti,Girl's,Govt,ITI,None,Electrician
"Women Industrial Training Institute, Khunti",Jharkhand,Khunti,Girl's,Govt,ITI,None,Electronics Mechanic
Vikram Private ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Electrician 
Vikram Private ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Fitter
Koderma Private ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Electrician 
Koderma Private ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Fitter
Basukala Private ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Electrician 
Basukala Private ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Fitter
Jarf ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Electrician 
Jarf ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Fitter
Jarf ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Welder
Jarf ITI,Jharkhand ,Koderma,Co-edu,Private,ITI,None,Mechanic Diesel
Gurukul Private ITI,Jharkhand ,Latehar,Co-edu,Private,ITI,None,Electrician 
Maa Saraswati Private ITI,Jharkhand ,Lohardaga,Co-edu,Private,ITI,None,Electrician 
Maa Saraswati Private ITI,Jharkhand ,Lohardaga,Co-edu,Private,ITI,None,Fitter
"Govt. ITI, Pakur",Jharkhand,Pakur,Co-edu,Government,ITI,None,Electrician
"Govt. ITI, Pakur",Jharkhand,Pakur,Co-edu,Government,ITI,None,Fitter
"Govt. ITI, Pakur",Jharkhand,Pakur,Co-edu,Government,ITI,None,Electronics Mechanic
"Govt. ITI, Pakur",Jharkhand,Pakur,Co-edu,Government,ITI,None,ICTSM
"Govt. ITI, Pakur",Jharkhand,Pakur,Co-edu,Government,ITI,None,Mechanic Motor Vehicle !
"Govt. ITI, Pakur",Jharkhand,Pakur,Co-edu,Government,ITI,None,Plumber
"Govt. ITI, Pakur",Jharkhand,Pakur,Co-edu,Government,ITI,None,Welder
"Govt. ITI, Pakur",Jharkhand,Pakur,Co-edu,Government,ITI,None,Mechanic Tractor
B T T I Pvt ITI,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Electrician
Maa Banjari Pvt ITI,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Electrician
Maa Banjari Pvt ITI,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Fitter
Ramgarh Industrial Training Centre,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Electrician
Ramgarh Industrial Training Centre,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Fitter
Vanachal Private ITI,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Electrician
Vanachal Private ITI,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Fitter
O.P Jindal Institute of Technology & Skill,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Electrician
O.P Jindal Institute of Technology & Skill,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Fitter
O.P Jindal Institute of Technology & Skill,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,COPA
O.P Jindal Institute of Technology & Skill,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Mechanic
O.P Jindal Institute of Technology & Skill,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Welder
O.P Jindal Institute of Technology & Skill,Jharkhand,Ramgarh,Co-edu,Private,ITI,None,Draughtsman(Mech)
Jharkhand Pvt. Iti,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Electrician
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Electrician
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Fitter
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Mechanist
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Foundryman
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Plumber
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Sheet metal Worker
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Turner
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Welder
Govt Industrial Training Institute,Jharkhand,Sahebganj,Co-edu,Private,ITI,None,Wireman
Giridih Private ITI,Jharkhand,Giridh,Co-educational,Private,ITI,None,Electrician
Giridih Private ITI,Jharkhand,Giridh,Co-educational,Private,ITI,None,Fitter
Parshwanath Private ITI ,Jharkhand,Giridh,Co-educational,Private,ITI,None,Electrician
Parshwanath Private ITI ,Jharkhand,Giridh,Co-educational,Private,ITI,None,Fitter
"ITI Women , Giridh",Jharkhand,Giridh,Girl's,Government,ITI,None,Electronics Mechanic
"ITI Women , Giridh",Jharkhand,Giridh,Girl's,Government,ITI,None,Fashion Design and Technology
"ITI Women , Giridh",Jharkhand,Giridh,Girl's,Government,ITI,None,Front Office Assisstant
"ITI Women , Giridh",Jharkhand,Giridh,Girl's,Government,ITI,None,Sewing Technology 
"Govt. ITI , Bagodar",Jharkhand,Giridh,Co-educational,Government,ITI,None,Electrician
"Govt. ITI , Bagodar",Jharkhand,Giridh,Co-educational,Government,ITI,None,Fitter
"Govt. ITI , Bagodar",Jharkhand,Giridh,Co-educational,Government,ITI,None,Welder
"Govt. ITI , Bagodar",Jharkhand,Giridh,Co-educational,Government,ITI,None,Surveyor
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,Electrician
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,Fitter
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,Mechanic Diesel
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,Welder
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,COPA
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,MMV
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,Turner
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,Electronics Mechanic
"Govt. ITI , Giridh",Jharkhand,Giridh,Co-educational,Government,ITI,None,Daughtsman Mechanical
BHARTI PRIVATE ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Electrician
BHARTI PRIVATE ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Fitter
Nav Bharat Private Iti,Jharkhand,Godda,Co-ed,Private,ITI,None,Electrician
Nav Bharat Private Iti,Jharkhand,Godda,Co-ed,Private,ITI,None,Fitter
Satyendra Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Electrician
Satyendra Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Fitter
Sri Sai Pvt ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Electrician
Sri Sai Pvt ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Fitter
"Govt ITI , Sundarpahari",Jharkhand,Godda,Co-ed,Govt,ITI,None,Electrician
"Govt ITI , Sundarpahari",Jharkhand,Godda,Co-ed,Govt,ITI,None,Fitter
"Govt ITI , Sundarpahari",Jharkhand,Godda,Co-ed,Govt,ITI,None,Mechanical Diesel
"Govt ITI , Sundarpahari",Jharkhand,Godda,Co-ed,Govt,ITI,None,Welder
Govt Women ITI Godda,Jharkhand,Godda,Female,Govt,ITI,None,Electronics Mechanic
GURUKUL PRIVATE INDUSTRIAL TRAINING INSTITUTE,Jharkhand,Godda,Co-ed,Private,ITI,None,Electrician
GURUKUL PRIVATE INDUSTRIAL TRAINING INSTITUTE,Jharkhand,Godda,Co-ed,Private,ITI,None,Fitter
GURUKUL PRIVATE INDUSTRIAL TRAINING INSTITUTE,Jharkhand,Godda,Co-ed,Private,ITI,None,Health Sanitary Inspector
GURUKUL PRIVATE INDUSTRIAL TRAINING INSTITUTE,Jharkhand,Godda,Co-ed,Private,ITI,None,Surveyor
HINDUSTAN PRIVATE ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Electrician
HINDUSTAN PRIVATE ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Fitter
HINDUSTAN PRIVATE ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,COPA
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Electrician
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Fitter
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Carpenter
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,COPA
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Mason
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Mechanical Diesel
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Plumber
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Sewing Technology
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Welder
ECL-Sephali Private ITI,Jharkhand,Godda,Co-ed,Private,ITI,None,Wood Work Technician
Industrail Training Centre ,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Electrician
Industrail Training Centre ,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Fitter
Industrail Training Centre ,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Mechanical Diesel
Ranchi Institute of Technology Industrial Training Centre,Jharkhand,Ranchi,Co-edu,Govt ,ITI,None,Electrician
Ranchi Institute of Technology Industrial Training Centre,Jharkhand,Ranchi,Co-edu,Govt ,ITI,None,Fitter
Ranchi Institute of Technology Industrial Training Centre,Jharkhand,Ranchi,Co-edu,Govt ,ITI,None,Mechanical Diesel
Rajeev PVT ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Electrician
Rajeev PVT ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Fitter
Bismi PVT ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Electrician
Bismi PVT ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Fitter
Unique PVT ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Electrician
Unique PVT ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Fitter
Swami Vivekanand Private ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Electrician
Swami Vivekanand Private ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Fitter
Smriti Pano Kunwar PVT ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Electrician
Smriti Pano Kunwar PVT ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Fitter
Shree Venkateshwara Industrial Training Centre,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Electrician
Shree Venkateshwara Industrial Training Centre,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Fitter
TSSDS Private ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Electrician
TSSDS Private ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Fitter
TSSDS Private ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Welder
TSSDS Private ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Turner
TSSDS Private ITI,Jharkhand,Ranchi,Co-edu,Private,ITI,None,Mason(Building Constructor)
Nice PVT ITI,Jharkhand,Simdega,Co-ed,Govt,ITI,None,Fitter
Govt Women ITI Simdega,Jharkhand,Simdega,Female,Govt,ITI,None,Electronics Mechanic
Govt ITI Simdega,Jharkhand,Simdega,Co-ed,Govt,ITI,None,Electrician
Govt ITI Simdega,Jharkhand,Simdega,Co-ed,Govt,ITI,None,Fitter
Govt ITI Simdega,Jharkhand,Simdega,Co-ed,Govt,ITI,None,Welder
Govt ITI Simdega,Jharkhand,Simdega,Co-ed,Govt,ITI,None,Plumber
Govt ITI Simdega,Jharkhand,Simdega,Co-ed,Govt,ITI,None,Mechanic
Govt ITI Simdega,Jharkhand,Simdega,Co-ed,Govt,ITI,None,Machinist
Govt ITI Simdega,Jharkhand,Simdega,Co-ed,Govt,ITI,None,Wireman
"ITI, Bano, simdega",Jharkhand,Simdega,Co-ed,Govt,ITI,None,Electrician
"ITI, Bano, simdega",Jharkhand,Simdega,Co-ed,Govt,ITI,None,Fitter
"ITI, Bano, simdega",Jharkhand,Simdega,Co-ed,Govt,ITI,None,Plumber
"ITI, Bano, simdega",Jharkhand,Simdega,Co-ed,Govt,ITI,None,Mechanic
"ITI, Bano, simdega",Jharkhand,Simdega,Co-ed,Govt,ITI,None,Carpentar
"ITI, Bano, simdega",Jharkhand,Simdega,Co-ed,Govt,ITI,None,Wood Work Technician
D.C.M Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
D.C.M Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
Asha Industrail Training Centre Basta Colla Jharia Road,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
Asha Industrail Training Centre Basta Colla Jharia Road,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
Aryabhatta Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
Aryabhatta Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
Global PVT ITI Dhanbad,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
Global PVT ITI Dhanbad,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
dhanbad private iti,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
dhanbad private iti,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
Bapu Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
Bapu Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
DR BR AMBEDKAR PRIVATE ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
DR BR AMBEDKAR PRIVATE ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
DR BR AMBEDKAR PRIVATE ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Mechanical Diesel
Siddharth Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
Siddharth Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
Siddharth Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Welder
COAL Field Institute of Technology Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
COAL Field Institute of Technology Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
COAL Field Institute of Technology Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Mechanical Diesel
COAL Field Institute of Technology Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Welder
Govt ITI Govindpur,Jharkhand,Dhanbad,Co-edu,Govt,ITI,None,Electrician
Govt ITI Govindpur,Jharkhand,Dhanbad,Co-edu,Govt,ITI,None,Fitter
Govt ITI Govindpur,Jharkhand,Dhanbad,Co-edu,Govt,ITI,None,Mechanical Diesel
Govt ITI Govindpur,Jharkhand,Dhanbad,Co-edu,Govt,ITI,None,Welder
DCET Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
DCET Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
DCET Private ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Draughtsman(Civil)
Kumar PVT ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
Kumar PVT ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
Kumar PVT ITI,Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Mechanical Diesel
Baliapur Institute of Technology (North Campus),Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Electrician
Baliapur Institute of Technology (North Campus),Jharkhand,Dhanbad,Co-edu,Private,ITI,None,Fitter
